Run,LH,WidthS1,Height1S1,Height2S1,DiagonalS1,WidthS1UV_5,Height1S1UV_5,Height2S2UV_5,DiagonalS1UV_5,WidthS1UV_10,Height1S1UV_10,Height2S2UV_10,DiagonalS1UV_10,WidthS1UV_15,Height1S1UV_15,Height2S2UV_15,DiagonalS1UV_15,WidthS1UV_PF,Height1S1UV_PF,Height2S2UV_PF,DiagonalS1UV_PF
1,25,2803.4454,3999.924,4001.157,4939.843,,,,,,,,,,,,,2130.027667,3065.094667,3096.725,3740.849667
1,50,3324.1016,4369.297,4377.6906,5404.0448,,,,,,,,,,,,,2715.110333,3477.03,3461.574,4298.231
2,25,2938.095,4080.5262,4085.1334,5035.3368,3046.011667,4232.438667,4208.186667,5138.524333,,,,,,,,,2366.818667,3135.417,3065.434333,3881.171
2,50,3227.16,4381.3662,4366.04,5338.1334,3103.401,4188.761,4202.0515,5021.951,,,,,,,,,2403.985556,3225.847222,3207.911111,3973.417222
3,25,3003.8852,4248.1108,4285.4784,5120.4358,,,,,3172.998333,4439.148,4461.031667,5327.734333,,,,,2600.491667,3565.897333,3564.865,4321.562
3,50,3059.33744,4215.84484,4223.09988,5167.55876,,,,,3194.282667,4602.513,4581.725,5480.086333,,,,,2519.978,3464.362,3533.769667,4286.727
4,25,3048.0188,4297.3178,4294.3612,5152.6666,,,,,,,,,3135.512,4339.244,4361.643667,5278.471333,2536.685333,3503.048667,3522.386,4228.660333
4,50,3055.299288,4244.633168,4250.822576,5162.826272,,,,,,,,,3194.282667,4602.513,4581.725,5480.086333,2258.169667,3317.640667,3287.629667,4071.398
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,Width Difference 25 micron,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,run,Width,UV_treat,Sintered,Diff1,Diff2,%Diff,,,,,,,,,,
,,,,,1,2803.4454,,2130.027667,0,-673.417733,-31.61544535,,,,,,,,,,
,,,,,2,2938.095,3046.011667,2366.818667,107.916667,-571.276333,-24.1368864,,,,,,,,,,
,,,,,3,3003.8852,3172.998333,2600.491667,169.113133,-403.393533,-15.51220249,,,,,,,,,,
,,,,,4,3003.8852,3135.512,2536.685333,131.6268,-467.199867,-18.41773045,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,run,Width,UV_treat,Sintered,,,,,,,,,,,,,
,,,,,1,3324.1016,,2715.110333,,,,,,,,,,,,,
,,,,,2,3227.16,3103.401,2403.985556,,,,,,,,,,,,,
,,,,,3,3059.33744,3194.282667,2519.978,,,,,,,,,,,,,
,,,,,4,3055.299288,3135.512,2258.169667,,,,,,,,,,,,,
